6.3847 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
6.3871 	INFO 	Loaded monitor calibration from ['2024_09_13 09:37']
6.6129 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477520>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE4774C0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477310>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000209EE58A170>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6130 	EXP 	window1: backgroundImage = ''
6.6130 	EXP 	window1: backgroundFit = 'none'
6.6132 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477640>
6.6135 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477640>
6.6175 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477640>
6.6185 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477640>
6.6262 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6274 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6285 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6298 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6310 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6317 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6326 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6339 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6343 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6348 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6358 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6368 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6377 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6387 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6395 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6406 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6417 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6424 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6430 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6443 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6449 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6454 	DEBUG 	Uploading Texture Font fontname to graphics card
6.6470 	DEBUG 	Upload of Texture Font fontname complete
6.6492 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477640>
6.6493 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477640>
6.6503 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477640>
6.6513 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000209EE477640>
6.6578 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.6592 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
